col_1,col_2,col_3,col_4
,,,"(유아라는 아름다운 목소리로 노래를 부르기 시작하고, 주인공은 그 노래에 감동한다.)"
,,주인공,(박수치며) 정말 아름다운 목소리예요. 아라 씨의 감정이 잘 느껴져요.
,,유아라,(감사한 마음으로) 고마워요. 주인공 씨가 그렇게 말해주니 자신감이 생기네요. 
,,유아라,"무대에서 노래하는 게 조금 두려웠는데, 이제 조금씩 나아질 것 같아요."
,,주인공,(따뜻하게) 아라 씨는 정말 잘하고 있어요. 앞으로도 계속 응원할게요. 무대에서의 모습이 정말 멋져요.
,,유아라,"(조용히) 네, 주인공 씨의 응원이 큰 힘이 돼요. 저도 주인공 씨를 응원할게요. 우리 서로 힘내요."
,,주인공,"(미소 지으며) 네, 우리 함께 열심히 해요. 그럼 저는 다음 연습을 준비하러 가볼게요. 아라 씨도 화이팅!"
,,유아라,"(부드럽게) 네, 감사합니다. 주인공 씨도 화이팅!"
[3:0704:006],,,
,e003,주인공,"(밝게) 안녕하세요, 아라 씨! 여기서 뭐하고 계세요?"
,,유아라,"(조용히) 안녕하세요, 주인공 씨. 여기서 그림을 그리고 있었어요. 가끔 이렇게 그림을 그리면서 마음을 정리해요."
,,주인공,"(호기심 가득) 와, 아라 씨가 그림도 그리시다니! 어떤 그림을 그리고 있나요?"
,,유아라,(부드럽게) 제 마음 속에 있는 풍경을 그리고 있어요. 저에게는 그림 그리기가 또 다른 힐링 방법이거든요.
,,주인공,(감탄하며) 정말 대단해요. 한 번 보여줄 수 있나요?
,,유아라,"(살짝 미소 지으며) 물론이죠. 아직 완성되지 않았지만, 봐주시면 감사하죠. "
,,유아라,(그림을 보여주며) 이 그림은 제가 어릴 적 자주 갔던 공원을 떠올리며 그린 거예요.
,,주인공,(감동하며) 정말 아름다운 그림이에요. 아라 씨의 감정이 잘 담겨 있네요. 공원을 좋아하셨나 봐요.
,,유아라,"(조용히) 네, 어릴 적에 그 공원에서 많은 시간을 보냈어요. 그래서 그리울 때마다 이렇게 그림으로 그려보곤 해요."
,,주인공,(따뜻하게) 아라 씨의 그림을 보니 마음이 따뜻해지네요. 정말 멋진 취미를 가지고 계시네요.
,,유아라,"(감사한 마음으로) 고마워요, 주인공 씨. 주인공 씨도 힐링이 필요할 때가 있으면 언제든지 저와 같이 그림을 그려도 좋아요."
,,주인공,"(미소 지으며) 정말 감사해요, 아라 씨. 다음에 저도 한 번 시도해볼게요. "
,,주인공,그럼 저는 음료를 주문하러 가볼게요. 아라 씨도 즐거운 시간 보내세요.
,,유아라,"(부드럽게) 네, 감사합니다. 주인공 씨도 좋은 시간 보내세요."
[4:0706:003],,,
,e004,주인공,"(밝게) 안녕하세요, 아라 씨! 책 읽고 계시네요?"
,,유아라,"(조용히) 안녕하세요, 주인공 씨. 네, 조금 쉬면서 책을 읽고 있었어요. 책을 읽으면 마음이 차분해지거든요."
,,주인공,(호기심 가득) 그렇군요. 무슨 책을 읽고 있나요?
,,유아라,(부드럽게) 이 책은 음악 이론에 관한 책이에요. 음악을 더 깊이 이해하고 싶어서요.
,,주인공,(감탄하며) 정말 대단해요. 항상 노력하는 모습이 멋져요. 책 내용이 어렵진 않나요?
,,유아라,"(살짝 미소 지으며) 조금 어렵긴 하지만, 새로운 것을 배우는 게 즐거워요. 주인공 씨도 읽어보고 싶다면 빌려드릴게요."
,,주인공,(감사한 마음으로) 정말 고마워요. 나중에 한 번 읽어볼게요. 아라 씨가 추천해주신 책이라면 분명 도움이 될 거예요.
,,유아라,"(조용히) 네, 도움이 되길 바랄게요. 주인공 씨는 요즘 어떤 취미를 가지고 계신가요?"
,,주인공,"(생각하며) 저도 독서를 좋아하지만, 최근에는 운동을 많이 하고 있어요. 체력도 길러야 하니까요."
,,유아라,(부드럽게) 정말 좋은 취미네요. 운동을 하면 몸도 마음도 건강해지니까요. 저도 가끔 산책을 하면서 운동을 해요.
,,주인공,"(미소 지으며) 맞아요, 운동은 정말 중요한 것 같아요. 나중에 같이 산책해도 좋겠네요."
,,유아라,(살짝 웃으며) 좋죠. 함께 산책하면서 이야기 나누는 것도 좋을 것 같아요.
,,주인공,"(따뜻하게) 정말 기대돼요. 그럼 아라 씨, 책 읽는 시간 방해해서 미안해요. 저는 방에 가볼게요."
,,유아라,"(조용히) 아니에요, 주인공 씨와 이야기 나누는 것도 즐거웠어요. 좋은 시간 보내세요."
,,주인공,"(미소 지으며) 네, 아라 씨도 좋은 시간 보내세요."
[5:0707:002],,,
,e005,주인공,"(밝게) 안녕하세요, 아라 씨! 녹음 중이세요?"
,,유아라,"(조용히) 안녕하세요, 주인공 씨. 네, 지금 노래를 녹음하려고 준비 중이에요."
,,주인공,"(호기심 가득) 와, 아라 씨가 녹음하는 걸 직접 보게 되다니! 어떤 곡을 녹음하고 있나요?"
,,유아라,(부드럽게) 제가 작사한 발라드 곡이에요. 감정을 잘 표현하려고 노력 중이에요.
,,주인공,"(감탄하며) 정말 대단해요. 아라 씨가 직접 작사한 곡이라니, 정말 기대돼요. 한 번 들어볼 수 있을까요?"
,,유아라,(살짝 미소 지으며) 물론이죠. 들어주셔서 감사해요. (노래를 시작하며) 이 곡은 제가 사랑하는 사람을 생각하며 쓴 곡이에요.
,,,"(유아라는 마이크 앞에서 노래를 부르기 시작하고, 주인공은 그 노래에 감동한다.)"
,,주인공,(박수치며) 정말 아름다운 목소리예요. 아라 씨의 감정이 잘 느껴져요.
,,유아라,"(감사한 마음으로) 고마워요, 주인공 씨. 주인공 씨가 그렇게 말해주니 자신감이 생기네요."
,,주인공,(따뜻하게) 아라 씨는 정말 잘하고 있어요. 앞으로도 계속 응원할게요. 녹음이 잘 되길 바랄게요.
,,유아라,"(조용히) 네, 주인공 씨의 응원이 큰 힘이 돼요. 저도 주인공 씨를 응원할게요. 우리 서로 힘내요."
,,주인공,"(미소 지으며) 네, 우리 함께 열심히 해요. 그럼 저는 다음 연습을 준비하러 가볼게요. 아라 씨도 화이팅!"
,,유아라,"(부드럽게) 네, 감사합니다. 주인공 씨도 화이팅!"
[6:0708:001],,,
,e006,주인공,"(걱정스러운 표정으로) 안녕, 아라 씨. 무대 공포증 때문에 연습 중이세요?"
,,유아라,"(조용히) 네, 안녕하세요. 무대에서 떨지 않고 자연스럽게 노래하고 싶어서요. 하지만 쉽지 않네요."
,,주인공,"(따뜻하게) 아라 씨, 정말 대단해요. 이렇게 열심히 노력하는 모습이 정말 멋져요. 제가 도와줄 수 있는 게 있을까요?"
,,유아라,(살짝 미소 지으며) 주인공 씨가 여기 있어주시는 것만으로도 큰 힘이 돼요. 그냥 함께 있어주시면 감사하겠어요.
,,주인공,(미소 지으며) 물론이죠. 그럼 제가 응원하면서 옆에서 지켜볼게요. 아라 씨가 잘할 수 있도록 도와줄게요.
,,유아라,"(감사한 마음으로) 정말 고마워요, 주인공 씨. 그러면 제가 무대에 올라가는 상황을 연습해볼게요."
,,,(유아라는 연습실에서 거울을 바라보며 무대에서 노래하는 연습을 시작한다.)
,,주인공,"(응원하며) 좋아요, 아라 씨. 정말 잘하고 있어요. 떨지 말고 자신감을 가져요."
,,유아라,(조용히) 감사합니다. 주인공 씨의 응원이 큰 힘이 돼요. 이제 조금 더 자신감이 생기는 것 같아요.
,,주인공,"(따뜻하게) 아라 씨, 정말 멋져요. 무대에서도 이렇게 자신감을 가지고 하면 분명 잘할 수 있을 거예요."
,,유아라,"(부드럽게) 네, 그렇게 믿고 열심히 해볼게요. 주인공 씨가 곁에 있어주셔서 정말 감사해요."
,,주인공,(미소 지으며) 언제든지 도와드릴게요. 아라 씨는 정말 잘할 수 있어요. 앞으로도 함께 힘내요.
,,유아라,"(조용히) 네, 주인공 씨. 우리 함께 힘내요. 정말 감사해요."
,,주인공,(따뜻하게) 그럼 저는 다음 연습을 준비하러 가볼게요. 아라 씨도 화이팅!
,,유아라,"(부드럽게) 네, 감사합니다. 주인공 씨도 화이팅!"
[7:0709:003],,,
,e007,주인공,"(밝게) 안녕하세요, 아라 씨! 기타 연습 중이시네요?"
,,유아라,"(조용히) 안녕하세요, 주인공 씨. 네, 기타 연주도 배우고 싶어서 연습하고 있어요. 기타는 피아노와는 또 다른 매력이 있어서요."
,,주인공,(호기심 가득) 그렇군요. 어떤 곡을 연습 중인가요?
,,유아라,(부드럽게) 제가 좋아하는 발라드 곡이에요. 기타로 연주하면 또 다른 느낌이 나서 재미있어요.
,,주인공,(감탄하며) 정말 대단해요. 한 번 들어볼 수 있을까요?
,,유아라,(살짝 미소 지으며) 물론이죠. 들어주시면 감사하죠. (연주를 시작하며) 이 곡은 제가 좋아하는 노래예요.
,,,"(유아라는 기타를 연주하기 시작하고, 주인공은 그 연주에 감동한다.)"
,,주인공,(박수치며) 정말 아름다운 연주예요. 아라 씨의 감정이 잘 느껴져요.
,,유아라,"(감사한 마음으로) 고마워요, 주인공 씨. 주인공 씨가 그렇게 말해주니 자신감이 생기네요. "
,,유아라,"기타 연주는 아직 서툴지만, 더 연습하면 좋아질 거예요."
,,주인공,(따뜻하게) 아라 씨는 정말 잘하고 있어요. 앞으로도 계속 응원할게요. 연주가 정말 멋져요.
,,유아라,"(조용히) 네, 주인공 씨의 응원이 큰 힘이 돼요. 저도 주인공 씨를 응원할게요. 우리 서로 힘내요."
,,주인공,"(미소 지으며) 네, 우리 함께 열심히 해요. 그럼 저는 다음 연습을 준비하러 가볼게요. 아라 씨도 화이팅!"
,,유아라,"(부드럽게) 네, 감사합니다. 주인공 씨도 화이팅!"
[8:0710:010],,,
,e008,주인공,"(밝게) 안녕하세요, 아라 씨! 팬미팅 준비 중이시네요?"
,,유아라,"(조용히) 안녕하세요, 주인공 씨. 네, 팬미팅 준비를 하고 있어요. 팬들에게 좋은 추억을 만들어주고 싶어서요."
,,주인공,(호기심 가득) 그렇군요. 어떤 준비를 하고 있나요?
,,유아라:,"(부드럽게) 팬들에게 줄 작은 선물도 준비하고 있고, 팬들과 함께 할 게임도 생각하고 있어요. "
,,유아라:,팬들과 가까이 소통할 수 있는 시간을 만들고 싶어요.
,,주인공,(감탄하며) 정말 대단해요. 아라 씨는 팬들을 정말 소중히 생각하는군요. 팬들이 정말 좋아할 것 같아요.
,,유아라,(살짝 미소 지으며) 팬들이 저에게 큰 힘이 되니까요. 저도 팬들에게 보답하고 싶어요. 주인공 씨도 팬미팅에 함께 해주실 거죠?
,,주인공,(미소 지으며) 물론이죠. 아라 씨 팬미팅을 돕는 건 정말 기쁜 일이에요. 어떤 도움을 드리면 될까요?
,,유아라,(조용히) 팬미팅 장소를 꾸미는 걸 도와주실 수 있나요? 풍선이나 꽃을 장식하는 것도 좋아요.
,,주인공,(활기차게) 물론이죠! 제가 도와드릴게요. 아라 씨가 원하는 대로 꾸며드릴게요.
,,,(주인공과 유아라는 함께 팬미팅 장소를 꾸미기 시작한다.)
,,주인공,"(열심히 꾸미며) 아라 씨, 이 풍선은 여기다 달면 어때요?"
,,유아라,"(미소 지으며) 정말 좋아요, 주인공 씨. 여기다 달면 팬들이 더 기뻐할 것 같아요."
,,주인공,(기쁘게) 다행이네요. 아라 씨와 함께 준비하니 저도 정말 즐거워요.
,,유아라,(감사한 마음으로) 주인공 씨가 도와주셔서 정말 감사해요. 덕분에 준비가 더 잘 되는 것 같아요.
,,주인공,(따뜻하게) 저도 아라 씨와 함께해서 정말 기뻐요. 팬미팅이 정말 성공적일 거예요.
,,유아라,"(조용히) 네, 그렇게 믿고 열심히 해볼게요. 주인공 씨도 함께해 주셔서 정말 고마워요."
,,주인공,(미소 지으며) 언제든지 도와드릴게요. 아라 씨는 정말 잘할 수 있어요. 화이팅!
,,유아라,"(부드럽게) 네, 감사합니다. 주인공 씨도 화이팅!"
[9:0711:006],,,
,e003,주인공,"(밝게) 안녕하세요, 아라 씨! 여기서 작사 중이신가요?"
,,유아라,"(조용히) 안녕하세요, 주인공 씨. 네, 오늘은 새로운 곡의 가사를 써보려고 해요. 조용한 곳에서 작업하면 더 잘 되는 것 같아요."
,,주인공,"(호기심 가득) 와, 아라 씨가 작사하는 걸 직접 보게 되다니! 어떤 주제로 가사를 쓰고 있나요?"
,,유아라,(부드럽게) 사랑에 대한 가사를 쓰고 있어요. 제 마음을 솔직하게 담아내려고 노력 중이에요.
,,주인공,"(감탄하며) 정말 멋지네요. 아라 씨의 감정이 담긴 가사라니, 꼭 들어보고 싶어요. 어려운 점은 없나요?"
,,유아라,(살짝 미소 지으며) 가끔 어떻게 표현해야 할지 막막할 때가 있어요. 하지만 주인공 씨처럼 좋은 사람들이 곁에 있어서 많은 영감을 받아요.
,,주인공,(따뜻하게) 정말 감사해요. 아라 씨가 작사한 가사를 들어볼 수 있을까요?
,,유아라,"(조용히) 물론이죠. 아직 완성되지 않았지만, 들어주시면 감사하죠. (노트북을 보여주며) 이 부분은 제가 최근에 쓴 가사예요."
,,주인공,(읽어보며) 정말 감동적이에요. 아라 씨의 감정이 잘 느껴져요. 이 가사에 곡이 더해지면 정말 아름다울 것 같아요.
,,유아라,"(감사한 마음으로) 고마워요, 주인공 씨. 그렇게 말해주니 힘이 나네요. 주인공 씨도 가사 쓰는 걸 도와주실래요?"
,,주인공,(미소 지으며) 물론이죠! 어떤 도움을 드리면 될까요?
,,유아라,(부드럽게) 주인공 씨가 느끼는 감정을 이야기해주시면 그걸 가사에 녹여볼게요. 함께 작업하면 더 좋은 가사가 나올 것 같아요.
,,,(주인공과 유아라는 함께 가사 작업을 시작한다.)
,,주인공,(생각하며) 저는 사랑이란 서로를 이해하고 배려하는 것이라고 생각해요. 그 감정을 담아서 써보면 어떨까요?
,,유아라,(살짝 미소 지으며) 정말 좋은 생각이에요. 그럼 그 감정을 담아서 이렇게 써볼게요. 
,,유아라,(노트북에 가사를 적으며) 서로를 이해하고 배려하는 마음이 사랑의 시작이라는 걸...
,,주인공,"(미소 지으며) 아라 씨, 정말 멋진 가사가 될 것 같아요. 함께 작업하니 더 즐거워요."
,,유아라,(감사한 마음으로) 저도 주인공 씨와 함께 작업해서 정말 기뻐요. 좋은 가사를 쓸 수 있을 것 같아요.
,,주인공,(따뜻하게) 아라 씨는 정말 잘할 수 있어요. 앞으로도 계속 응원할게요. 화이팅!
,,유아라,"(조용히) 네, 감사합니다. 주인공 씨도 화이팅!"
[10:0713:001],,,
,e005,주인공,"(밝게) 안녕하세요, 아라 씨! 오늘도 노래 연습 중이시네요?"
,,유아라,"(조용히) 안녕하세요, 주인공 씨. 네, 오늘도 노래 연습을 하고 있어요. 더 나은 무대를 위해 노력 중이에요."
,,주인공,(호기심 가득) 그렇군요. 어떤 곡을 연습 중인가요?
,,유아라,(부드럽게) 제가 좋아하는 발라드 곡이에요. 감정을 잘 표현하려고 노력 중이에요.
,,주인공,(감탄하며) 정말 기대되네요. 아라 씨의 노래는 항상 감동적이에요. 한 번 들어봐도 될까요?
,,유아라,(살짝 미소 지으며) 물론이죠. 들어주시면 감사하죠. (노래를 시작하며) 이 곡은 제가 최근에 연습하고 있는 곡이에요.
,,,"(유아라는 아름다운 목소리로 노래를 부르기 시작하고, 주인공은 그 노래에 감동한다.)"
,,주인공,(박수치며) 정말 아름다운 목소리예요. 아라 씨의 감정이 잘 느껴져요.
,,유아라,"(감사한 마음으로) 고마워요, 주인공 씨. 주인공 씨가 그렇게 말해주니 자신감이 생기네요. 더 열심히 연습해서 좋은 무대를 보여드릴게요."
,,주인공,(따뜻하게) 아라 씨는 정말 잘하고 있어요. 앞으로도 계속 응원할게요. 무대에서의 모습이 정말 멋져요.
,,유아라,"(조용히) 네, 주인공 씨의 응원이 큰 힘이 돼요. 저도 주인공 씨를 응원할게요. 우리 서로 힘내요."
,,주인공,"(미소 지으며) 네, 우리 함께 열심히 해요. 그럼 저는 다음 연습을 준비하러 가볼게요. 아라 씨도 화이팅!"
,,유아라,"(부드럽게) 네, 감사합니다. 주인공 씨도 화이팅!"
[11:0714:002],,,
,e001,주인공,"(밝게) 안녕하세요, 아라 씨! 피아노 녹음 중이신가요?"
,,유아라,"(조용히) 안녕하세요, 주인공 씨. 네, 오늘은 피아노 연주를 녹음하려고 해요. 좋은 음원을 만들고 싶어서요."
,,주인공,(호기심 가득) 그렇군요. 어떤 곡을 녹음하고 있나요?
,,유아라,(부드럽게) 제가 작곡한 곡이에요. 이 곡은 제 감정을 담아낸 피아노 곡이에요.
,,주인공,"(감탄하며) 정말 기대되네요. 아라 씨가 작곡한 곡이라니, 정말 감동적일 것 같아요. 한 번 들어볼 수 있을까요?"
,,유아라,(살짝 미소 지으며) 물론이죠. 들어주시면 감사하죠. (연주를 시작하며) 이 곡은 제가 가장 소중하게 생각하는 곡 중 하나예요.
,,,"(유아라는 피아노를 연주하기 시작하고, 주인공은 그 연주에 감동한다.)"
,,주인공,(박수치며) 정말 아름다운 곡이에요. 아라 씨의 감정이 잘 느껴져요.
,,유아라,"(감사한 마음으로) 고마워요, 주인공 씨. 주인공 씨가 그렇게 말해주니 자신감이 생기네요. 더 좋은 곡을 만들고 싶어요."
,,주인공,(따뜻하게) 아라 씨는 정말 잘하고 있어요. 앞으로도 계속 응원할게요. 녹음이 잘 되길 바랄게요.
,,유아라,"(조용히) 네, 주인공 씨의 응원이 큰 힘이 돼요. 저도 주인공 씨를 응원할게요. 우리 서로 힘내요."
,,주인공,"(미소 지으며) 네, 우리 함께 열심히 해요. 그럼 저는 다음 연습을 준비하러 가볼게요. 아라 씨도 화이팅!"
,,유아라,"(부드럽게) 네, 감사합니다. 주인공 씨도 화이팅!"
[12:0715:004],,,
,e002,주인공,"(미소 지으며) 안녕하세요, 아라 씨! 공연 리허설 중이시네요?"
,,유아라,"(조용히) 안녕하세요, 주인공 씨. 네, 오늘은 무대에서 리허설을 하고 있어요. 무대에서 완벽한 공연을 보여주고 싶어서요."
,,주인공,(호기심 가득) 그렇군요. 어떤 곡을 리허설 중인가요?
,,유아라,(부드럽게) 제가 작곡한 발라드 곡이에요. 감정을 잘 표현하려고 노력 중이에요.
,,주인공,(감탄하며) 정말 기대되네요. 아라 씨의 공연은 항상 감동적이에요. 한 번 들어봐도 될까요?
,,유아라,(살짝 미소 지으며) 물론이죠. 들어주시면 감사하죠. (노래를 시작하며) 이 곡은 제가 사랑하는 사람을 생각하며 쓴 곡이에요.
,,,"(유아라는 아름다운 목소리로 노래를 부르기 시작하고, 주인공은 그 노래에 감동한다.)"
,,주인공,(박수치며) 정말 아름다운 목소리예요. 아라 씨의 감정이 잘 느껴져요.
,,유아라,"(감사한 마음으로) 고마워요, 주인공 씨. 주인공 씨가 그렇게 말해주니 자신감이 생기네요. 무대에서도 잘할 수 있을 것 같아요."
,,주인공,(따뜻하게) 아라 씨는 정말 잘하고 있어요. 앞으로도 계속 응원할게요. 공연이 정말 기대돼요.
,,유아라,"(조용히) 네, 주인공 씨의 응원이 큰 힘이 돼요. 저도 주인공 씨를 응원할게요. 우리 서로 힘내요."
,,주인공,"(미소 지으며) 네, 우리 함께 열심히 해요. 그럼 저는 다음 연습을 준비하러 가볼게요. 아라 씨도 화이팅!"
,,유아라,"(부드럽게) 네, 감사합니다. 주인공 씨도 화이팅!"
[13:0716:010],,,
,e009,주인공,"(밝게) 안녕하세요, 아라 씨! 팬미팅 잘 진행되고 있나요?"
,,유아라,"(조용히) 안녕하세요, 주인공 씨. 네, 팬들과 즐거운 시간을 보내고 있어요. 팬들과 직접 소통할 수 있어서 정말 기뻐요."
,,주인공,(호기심 가득) 팬들이 정말 좋아할 것 같아요. 어떤 이야기들을 나누고 있나요?
,,유아라,"(부드럽게) 팬들이 제 음악과 일상에 대해 물어봐요. 저는 그분들의 이야기도 듣고, 함께 사진도 찍고 있어요."
,,팬1,"(활발하게) 아라 씨, 이번에 작곡하신 곡 정말 감동적이었어요! 언제쯤 다음 곡을 들을 수 있을까요?"
,,유아라,(미소 지으며) 감사합니다. 열심히 작업 중이니까 곧 좋은 곡으로 찾아뵐게요. 기대해주세요.
,,팬2,"(호기심 가득) 아라 씨, 연습실에서 가장 좋아하는 순간은 언제인가요?"
,,유아라,(생각하며) 저는 모두가 함께 연습할 때가 가장 좋아요. 서로 응원하고 도와주는 그 순간들이 정말 소중해요.
,,주인공,(따뜻하게) 아라 씨의 팬들은 정말 따뜻하네요. 저도 팬미팅에 함께해서 기뻐요.
,,유아라,(감사한 마음으로) 주인공 씨가 함께해주셔서 저도 기뻐요. 팬들도 주인공 씨를 만나서 반가워할 거예요.
,,팬3,"(활기차게) 주인공 씨, 안녕하세요! 아라 씨와 함께 작업하시면서 어떤 점이 가장 좋았나요?"
,,주인공,"(미소 지으며) 아라 씨는 항상 열심히 하고, 그 열정이 정말 멋져요. 함께 작업하면서 많은 것을 배우고 있어요."
,,유아라,(조용히) 주인공 씨와 함께 작업해서 저도 많이 배웠어요. 주인공 씨는 정말 좋은 파트너예요.
,,주인공,"(따뜻하게) 감사해요, 아라 씨. 우리 앞으로도 함께 좋은 음악을 만들어가요."
,,팬1,(활발하게) 두 분의 음악 정말 기대할게요! 항상 응원할게요!
,,유아라,(감사한 마음으로) 정말 감사합니다. 여러분 덕분에 힘이 나요. 앞으로도 열심히 할게요.
,,주인공,(미소 지으며) 저도 여러분의 응원에 감사드려요. 앞으로도 좋은 모습 보여드릴게요.
[14:0717:006],,,
,e010,주인공,"(밝게) 안녕하세요, 아라 씨! 여기서 팬들과 대화 중이시네요?"
,,유아라,"(조용히) 안녕하세요, 주인공 씨. 네, 팬들과 함께 이야기 나누고 있어요. 이렇게 가까이에서 소통할 수 있어서 정말 좋아요."
,,주인공,(호기심 가득) 팬들이 정말 좋아할 것 같아요. 어떤 이야기들을 나누고 있나요?
,,팬1,"(활발하게) 아라 씨, 이번에 가장 감명 깊었던 연습은 어떤 거였나요?"
,,유아라,(생각하며) 저는 무대 공포증을 극복하기 위해 노력했던 연습이 가장 기억에 남아요. 그 과정을 통해 많은 것을 배웠거든요.
,,팬2,"(호기심 가득) 아라 씨, 작곡할 때 가장 영감을 많이 받는 순간은 언제인가요?"
,,유아라,(부드럽게) 저는 조용한 곳에서 혼자 있을 때 많은 영감을 받아요. 그 순간들이 제게는 소중한 시간이죠.
,,주인공,"(미소 지으며) 아라 씨, 팬들이 정말 많이 사랑해 주시는 것 같아요. 함께 이야기 나누는 시간이 정말 소중해 보이네요."
,,유아라,"(감사한 마음으로) 맞아요, 주인공 씨. 팬들과 함께하는 시간이 저에게도 큰 힘이 돼요."
,,팬3,"(활기차게) 주인공 씨, 안녕하세요! 아라 씨와 함께 작업하면서 가장 인상 깊었던 순간은 언제인가요?"
,,주인공,(생각하며) 저는 아라 씨가 무대 공포증을 극복하기 위해 연습했던 모습이 가장 인상 깊었어요. 정말 많은 노력을 하셨거든요.
,,유아라,(조용히) 주인공 씨가 항상 응원해 주셔서 큰 힘이 됐어요. 그 덕분에 무대에서도 자신감을 가질 수 있었어요.
,,주인공,"(따뜻하게) 감사해요, 아라 씨. 저도 아라 씨의 열정을 보면서 많이 배웠어요. 앞으로도 함께 열심히 해요."
,,팬1,(활발하게) 두 분의 우정이 정말 멋져요! 앞으로도 좋은 모습 기대할게요!
,,유아라,(감사한 마음으로) 정말 감사합니다. 여러분 덕분에 힘이 나요. 앞으로도 열심히 할게요.
,,주인공,(미소 지으며) 저도 여러분의 응원에 감사드려요. 앞으로도 좋은 모습 보여드릴게요.
[15:0720:001],,,
,e001,주인공,"(밝게) 안녕하세요, 아라 씨! 오늘도 피아노 연습 중이시네요?"
,,유아라,"(조용히) 안녕하세요, 주인공 씨. 네, 오늘도 피아노 연습을 하고 있어요. 더 나은 연주를 위해 노력 중이에요."
,,주인공,(호기심 가득) 그렇군요. 어떤 곡을 연습 중인가요?
,,유아라,(부드럽게) 제가 작곡한 곡이에요. 감정을 잘 표현하려고 노력 중이에요.
,,주인공,(감탄하며) 정말 기대되네요. 아라 씨의 연주는 항상 감동적이에요. 한 번 들어봐도 될까요?
,,유아라,(살짝 미소 지으며) 물론이죠. 들어주시면 감사하죠. (연주를 시작하며) 이 곡은 제가 최근에 작곡한 곡이에요.
,,,"(유아라는 아름다운 피아노 연주를 시작하고, 주인공은 그 연주에 감동한다.)"
,,주인공,(박수치며) 정말 아름다운 연주예요. 아라 씨의 감정이 잘 느껴져요.
,,유아라,"(감사한 마음으로) 고마워요, 주인공 씨. 주인공 씨가 그렇게 말해주니 자신감이 생기네요. 더 좋은 연주를 보여드리고 싶어요."
,,주인공,(따뜻하게) 아라 씨는 정말 잘하고 있어요. 앞으로도 계속 응원할게요. 연주가 정말 기대돼요.
,,유아라,"(조용히) 네, 주인공 씨의 응원이 큰 힘이 돼요. 저도 주인공 씨를 응원할게요. 우리 서로 힘내요."
,,주인공,"(미소 지으며) 네, 우리 함께 열심히 해요. 그럼 저는 다음 연습을 준비하러 가볼게요. 아라 씨도 화이팅!"
,,유아라,"(부드럽게) 네, 감사합니다. 주인공 씨도 화이팅!"
[16:0722:004],,,
,e002,주인공,"(미소 지으며) 안녕하세요, 아라 씨! 리허설 준비 중이시네요?"
,,유아라,"(조용히) 안녕하세요, 주인공 씨. 네, 오늘은 무대 리허설을 하고 있어요. 공연을 앞두고 준비해야 할 게 많아요."
,,주인공,(호기심 가득) 그렇군요. 어떤 곡을 리허설 중인가요?
,,유아라,(부드럽게) 제가 작곡한 발라드 곡이에요. 무대에서 잘 표현하고 싶어서요.
,,주인공,(감탄하며) 정말 기대되네요. 아라 씨의 공연은 항상 감동적이에요. 한 번 들어봐도 될까요?
